Location,Timestamp,mq135_raw,soil_moisture,soil_temperature,speed,light_intensity_lux,sound_level,rain_detected,estimated_ppm,temperature,humidity,pressure,altitude,uv_index
19.0890_72.8690,1752069591.323383,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,9.0
19.0890_72.8690,1752069597.6066089,462,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069603.8691945,457,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752069610.00633,455,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069616.24491,450,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069622.6074362,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069628.9461336,452,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069635.1806908,459,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,11.0
19.0890_72.8690,1752069641.4580708,461,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069648.3436906,454,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069661.0479631,459,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069674.945835,442,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069688.5472424,456,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,8.0
19.0890_72.8690,1752069695.0050642,467,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,9.0
19.0890_72.8690,1752069701.4456868,457,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069708.2618146,462,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069714.4457252,426,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069720.5933907,458,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069726.9440691,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069733.3129637,447,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069739.9575434,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069746.2450314,461,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070114.637877,454,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,13.0
19.0890_72.8690,1752070120.9867237,449,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070127.7290537,465,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070133.9920824,454,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070140.223658,446,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070146.8078964,457,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070152.9660604,455,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,10.0
19.0890_72.8690,1752070159.285339,454,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070165.8377526,493,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070172.160469,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070178.3125172,453,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070184.5306485,459,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070190.7241807,451,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,5.0
19.0890_72.8690,1752070197.0720484,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,2.0
19.0890_72.8690,1752070203.2950115,458,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070209.5258183,448,0.0,28.4,0.5,720,0,0,320,27.1,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070216.0265234,449,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070222.530193,427,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070229.3279245,459,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070235.5322883,457,0.0,28.4,0.5,720,0,0,320,27.1,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070242.0241923,451,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070248.6232417,445,0.0,28.4,0.5,720,0,0,320,27.1,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070255.0270178,451,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070261.7198846,450,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070268.0355248,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070274.823618,464,0.0,28.4,0.5,720,0,0,320,27.1,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070281.5246391,432,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070287.7540462,453,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070294.214001,432,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070300.49284,409,0.0,28.4,0.5,720,0,0,320,27.1,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070306.9442747,457,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070313.1220365,449,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070319.8227994,444,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070325.9919658,447,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070332.1286318,453,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070338.6369753,455,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070345.037207,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070351.32066,443,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070357.6325579,451,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070363.9776988,453,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,11.0
19.0890_72.8690,1752070370.2910182,443,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,8.0
19.0890_72.8690,1752070376.8206172,436,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070383.2346132,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070389.7319114,459,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070396.169303,453,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070403.4512494,448,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070411.03091,453,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070417.731748,443,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070424.1624935,450,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070430.476753,446,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070437.461947,419,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070444.7981238,471,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070451.9615364,444,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070459.466792,433,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070467.5103064,423,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,3.0
19.0890_72.8690,1752070474.05516,447,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070480.6776378,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070487.262589,445,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752070494.0983207,449,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070514.8999224,449,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070529.9983723,445,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070536.7517092,447,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,0.0
19.0890_72.8690,1752070543.1192694,465,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070549.8426442,442,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070556.7236784,455,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070564.0986593,491,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070571.2014873,448,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,15.0
19.0890_72.8690,1752070578.3862436,452,0.0,28.4,0.5,720,0,0,320,27.0,72.0,1013.25,14.3,3.0
19.0890_72.8690,1752070585.9525917,441,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070593.0188143,451,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752070606.931635,446,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
